13:16:33.88843 2020-07-06	started SetCameraFocus(You)
13:21:06.37449 2020-07-06	failed DisableIcon(Inspect, Spell Immunity Helmet) "Failed to disable the specified icon for this object"
13:21:06.37749 2020-07-06	succeeded HideDialog()
13:21:06.38149 2020-07-06	succeeded EnableInput()
13:21:06.38349 2020-07-06	succeeded StopSound()
13:21:06.38749 2020-07-06	input arrived You at (584.9, 8.0, 3.7)
13:21:06.65851 2020-07-06	input arrived You position GreatHall.Throne
13:21:07.15693 2020-07-06	input exited You position GreatHall.Throne
13:21:08.75062 2020-07-06	input Leave GreatHall.LeftDoor
13:21:08.79061 2020-07-06	started WalkTo(You, GreatHall.LeftDoor)
13:21:08.79562 2020-07-06	input started walking You at (584.9, 8.0, 3.7)
13:21:08.80161 2020-07-06	input started walking You at (584.9, 8.0, 3.7)
13:21:08.83963 2020-07-06	input started walking You at (584.9, 8.0, 3.7)
13:21:08.84363 2020-07-06	input stopped walking You at (584.9, 8.0, 3.7)
13:21:08.89864 2020-07-06	input started walking You at (584.9, 8.0, 3.7)
13:21:09.06739 2020-07-06	input exited You position Lionheart The Just
13:21:10.40333 2020-07-06	input arrived You position GreatHall.RightGuard
13:21:10.41234 2020-07-06	input arrived You at (581.0, 7.6, 1.1)
13:21:10.46433 2020-07-06	input arrived You position Guard2
13:21:10.57633 2020-07-06	input exited You position GreatHall.RightGuard
13:21:10.80033 2020-07-06	input exited You position Guard2
13:21:12.42019 2020-07-06	input arrived You at (574.4, 7.6, -1.4)
13:21:14.32428 2020-07-06	succeeded WalkTo(You, GreatHall.LeftDoor)
13:21:14.36428 2020-07-06	started Exit(You, GreatHall.LeftDoor, true)
13:21:20.07973 2020-07-06	input arrived You position GreatHall.LeftDoor.Out
13:21:21.48034 2020-07-06	input arrived You at (566.4, 7.4, -3.8)
13:21:21.58034 2020-07-06	succeeded Exit(You, GreatHall.LeftDoor, true)
13:21:21.62934 2020-07-06	started Enter(You, Blacksmith.Door, true)
13:21:22.02535 2020-07-06	input arrived You position Blacksmith.Door.Out
13:21:22.03134 2020-07-06	input exited You position GreatHall.LeftDoor.Out
13:21:25.50156 2020-07-06	input arrived You position Blacksmith.Door.In
13:21:25.64456 2020-07-06	input arrived You at (299.5, 0.1, -0.3)
13:21:25.67856 2020-07-06	input exited You position Blacksmith.Door.In
13:21:25.68556 2020-07-06	input stopped walking You at (299.5, 0.1, -0.3)
13:21:26.61069 2020-07-06	succeeded Enter(You, Blacksmith.Door, true)
13:21:26.64769 2020-07-06	started EnableIcon(TravelBlacksmith, Anvil, Courtyard.Horse, Travel to the Blacksmith, false)
13:21:26.69769 2020-07-06	failed EnableIcon(TravelBlacksmith, Anvil, Courtyard.Horse, Travel to the Blacksmith, false) "An icon with the same name has already been enabled for this object"
13:21:27.73170 2020-07-06	input started walking You at (299.5, 0.1, -0.3)
13:21:27.82270 2020-07-06	input arrived You position Blacksmith.Door.In
13:21:28.33909 2020-07-06	input exited You position Blacksmith.Door.In
13:21:28.95734 2020-07-06	input arrived You position Blacksmith.Table
13:21:29.56534 2020-07-06	input exited You position Blacksmith.Table
13:21:29.65735 2020-07-06	input arrived You at (295.0, 0.1, 3.0)
13:21:30.15132 2020-07-06	input stopped walking You at (295.5, 0.1, 3.3)
13:21:31.68675 2020-07-06	input arrived You at (295.5, 0.1, 3.3)
13:21:31.74675 2020-07-06	input Take Spell Immunity Helmet
13:21:31.84476 2020-07-06	started DisableIcon(Take, Spell Immunity Helmet)
13:21:31.84975 2020-07-06	started Take(You, Spell Immunity Helmet)
13:21:31.90142 2020-07-06	succeeded DisableIcon(Take, Spell Immunity Helmet)
13:21:31.96993 2020-07-06	input started walking You at (295.5, 0.1, 3.3)
13:21:32.06493 2020-07-06	input started walking You at (295.5, 0.1, 3.3)
13:21:32.37494 2020-07-06	input arrived You position Blacksmith.Table
13:21:32.93545 2020-07-06	input exited You position Blacksmith.Table
13:21:33.42344 2020-07-06	input arrived You position Blacksmith.Table
13:21:33.82544 2020-07-06	input exited You position Blacksmith.Table
13:21:35.09904 2020-07-06	input arrived You position Blacksmith.Table
13:21:35.15404 2020-07-06	input exited You position Blacksmith.Table
13:21:37.53506 2020-07-06	input arrived You at (297.8, 0.1, 2.3)
13:21:37.59006 2020-07-06	succeeded Take(You, Spell Immunity Helmet)
13:21:37.62406 2020-07-06	started Pocket(You, Spell Immunity Helmet)
13:21:38.55206 2020-07-06	succeeded Pocket(You, Spell Immunity Helmet)
13:21:38.57908 2020-07-06	started EnableIcon(Put, forge, Blacksmith.Anvil, Put, true)
13:21:38.59806 2020-07-06	succeeded EnableIcon(Put, forge, Blacksmith.Anvil, Put, true)
13:21:39.91408 2020-07-06	input Put Blacksmith.Anvil
13:21:39.95006 2020-07-06	started Put(You, Spell Immunity Helmet, Blacksmith.Anvil)
13:21:40.03905 2020-07-06	input started walking You at (297.8, 0.1, 2.3)
13:21:40.04405 2020-07-06	input stopped walking You at (297.8, 0.1, 2.3)
13:21:40.07405 2020-07-06	input started walking You at (297.8, 0.1, 2.3)
13:21:40.13206 2020-07-06	input arrived You position Blacksmith.Table
13:21:40.60806 2020-07-06	input exited You position Blacksmith.Table
13:21:40.86206 2020-07-06	input arrived You position Blacksmith.Anvil.Top
13:21:40.86606 2020-07-06	input arrived You position Blacksmith.Anvil
13:21:41.18407 2020-07-06	input exited You position Blacksmith.Anvil.Top
13:21:41.18907 2020-07-06	input exited You position Blacksmith.Anvil
13:21:41.31106 2020-07-06	input arrived You position Blacksmith.Anvil.Top
13:21:41.31507 2020-07-06	input arrived You position Blacksmith.Anvil
13:21:41.39307 2020-07-06	input exited You position Blacksmith.Anvil.Top
13:21:41.39807 2020-07-06	input exited You position Blacksmith.Anvil
13:21:44.42787 2020-07-06	input arrived You at (296.3, 0.1, 0.0)
13:21:44.49087 2020-07-06	succeeded Put(You, Spell Immunity Helmet, Blacksmith.Anvil)
13:21:44.53487 2020-07-06	started DisableInput()
13:21:44.53987 2020-07-06	started FadeOut()
13:21:44.57587 2020-07-06	succeeded DisableInput()
13:21:45.56587 2020-07-06	succeeded FadeOut()
13:21:45.59887 2020-07-06	started PlaySound(Sheathe)
13:21:45.63187 2020-07-06	succeeded PlaySound(Sheathe)
13:21:46.60091 2020-07-06	started PlaySound(Sheathe)
13:21:46.64791 2020-07-06	succeeded PlaySound(Sheathe)
13:21:47.59149 2020-07-06	started PlaySound(Fireball)
13:21:47.63050 2020-07-06	succeeded PlaySound(Fireball)
13:21:48.59749 2020-07-06	started PlaySound(Draw)
13:21:48.60249 2020-07-06	started SetPosition(Spell Immunity Helmet)
13:21:48.61049 2020-07-06	started SetPosition(Magic Immunity Armour, Blacksmith.Anvil)
13:21:48.62149 2020-07-06	started DisableIcon(Put, Blacksmith.Anvil)
13:21:48.62549 2020-07-06	started FadeIn()
13:21:48.65949 2020-07-06	succeeded PlaySound(Draw)
13:21:48.66649 2020-07-06	succeeded DisableIcon(Put, Blacksmith.Anvil)
13:21:49.25849 2020-07-06	succeeded SetPosition(Spell Immunity Helmet)
13:21:49.26249 2020-07-06	succeeded SetPosition(Magic Immunity Armour, Blacksmith.Anvil)
13:21:49.64149 2020-07-06	succeeded FadeIn()
13:21:49.68051 2020-07-06	started EnableInput()
13:21:49.68549 2020-07-06	started DisableIcon(Take, Spell Immunity Helmet)
13:21:49.71249 2020-07-06	succeeded EnableInput()
13:21:49.71649 2020-07-06	failed DisableIcon(Take, Spell Immunity Helmet) "Failed to disable the specified icon for this object"
13:21:52.72725 2020-07-06	input started walking You at (296.3, 0.1, 0.0)
13:21:52.75625 2020-07-06	input started walking You at (296.3, 0.1, 0.0)
13:21:52.76225 2020-07-06	input stopped walking You at (296.3, 0.1, 0.0)
13:21:52.78782 2020-07-06	input started walking You at (296.3, 0.1, 0.0)
13:21:52.81982 2020-07-06	input arrived You position Blacksmith.Anvil
13:21:52.82382 2020-07-06	input arrived You position Blacksmith.Anvil.Top
13:21:53.19114 2020-07-06	input exited You position Blacksmith.Anvil
13:21:53.19415 2020-07-06	input exited You position Blacksmith.Anvil.Top
13:21:53.31514 2020-07-06	input stopped walking You at (297.3, 0.1, -0.4)
13:21:53.73214 2020-07-06	input arrived You at (297.3, 0.1, -0.4)
13:21:54.58017 2020-07-06	input Wear Magic Immunity Armour
13:21:54.62117 2020-07-06	started DisableInput()
13:21:54.62518 2020-07-06	started FadeOut()
13:21:54.66417 2020-07-06	succeeded DisableInput()
13:21:55.66314 2020-07-06	succeeded FadeOut()
13:21:55.69614 2020-07-06	started SetClothing(You, HeavyArmour)
13:21:55.72813 2020-07-06	succeeded SetClothing(You, HeavyArmour)
13:21:55.76914 2020-07-06	started EnableIcon(Attack, Sword, Emmilia, Kill, false)
13:21:55.77414 2020-07-06	started EnableIcon(Attack, Sword, Fia the Deathseeker, Kill, false)
13:21:55.78013 2020-07-06	started SetPosition(Fia the Deathseeker, Ruins.Altar)
13:21:55.79513 2020-07-06	started FadeIn()
13:21:55.79813 2020-07-06	started EnableInput()
13:21:55.82813 2020-07-06	succeeded EnableIcon(Attack, Sword, Emmilia, Kill, false)
13:21:55.83313 2020-07-06	succeeded EnableIcon(Attack, Sword, Fia the Deathseeker, Kill, false)
13:21:55.83814 2020-07-06	succeeded EnableInput()
13:21:56.36914 2020-07-06	succeeded SetPosition(Fia the Deathseeker, Ruins.Altar)
13:21:56.79213 2020-07-06	succeeded FadeIn()
13:21:58.21376 2020-07-06	input Talk Blind Blacksmith
13:21:58.25476 2020-07-06	started SetLeft(You)
13:21:58.26076 2020-07-06	started SetRight(Blind Blacksmith)
13:21:58.26776 2020-07-06	started WalkTo(You, Blind Blacksmith)
13:21:58.27276 2020-07-06	input started walking You at (297.3, 0.1, -0.4)
13:21:58.27876 2020-07-06	input started walking You at (297.3, 0.1, -0.4)
13:21:58.34276 2020-07-06	succeeded SetLeft(You)
13:21:58.34676 2020-07-06	succeeded SetRight(Blind Blacksmith)
13:21:58.35176 2020-07-06	input started walking You at (297.3, 0.1, -0.4)
13:21:58.67576 2020-07-06	input arrived You position Blacksmith.Anvil.Top
13:21:58.68076 2020-07-06	input arrived You position Blacksmith.Anvil
13:21:59.23070 2020-07-06	input exited You position Blacksmith.Anvil.Top
13:21:59.23570 2020-07-06	input exited You position Blacksmith.Anvil
13:21:59.85570 2020-07-06	input arrived You at (294.0, 0.1, -0.7)
13:21:59.91270 2020-07-06	input arrived You position Blind Blacksmith
13:21:59.91870 2020-07-06	succeeded WalkTo(You, Blind Blacksmith)
13:21:59.94970 2020-07-06	started SetDialog("What is it that you want? Hurry up! I don't have all day\n[leave|Never mind]\n[busy|He doesn't seem busy to me!]")
13:21:59.98270 2020-07-06	succeeded SetDialog("What is it that you want? Hurry up! I don't have all day\n[leave|Never mind]\n[busy|He doesn't seem busy to me!]")
13:22:00.02070 2020-07-06	started ShowDialog()
13:22:00.08070 2020-07-06	succeeded ShowDialog()
13:22:01.64870 2020-07-06	input Selected leave
13:22:01.67970 2020-07-06	started HideDialog()
13:22:01.68470 2020-07-06	started EnableInput()
13:22:01.68770 2020-07-06	started StopSound()
13:22:01.71270 2020-07-06	succeeded HideDialog()
13:22:01.71670 2020-07-06	succeeded EnableInput()
13:22:01.71970 2020-07-06	succeeded StopSound()
13:22:01.87370 2020-07-06	input arrived You at (294.0, 0.1, -0.6)
13:22:03.44897 2020-07-06	input Key Inventory
13:22:03.50194 2020-07-06	started ClearList()
13:22:03.56593 2020-07-06	succeeded ClearList()
13:22:03.64794 2020-07-06	started AddToList(A Sturdy Sword, A broadsword to cut down all the foes...well, some of them)
13:22:03.65396 2020-07-06	started AddToList(Compass, A broken compass. I sense a very quiet sound that resembles floating water)
13:22:03.66094 2020-07-06	started ShowList(You, You)
13:22:03.71394 2020-07-06	succeeded AddToList(A Sturdy Sword, A broadsword to cut down all the foes...well, some of them)
13:22:03.71694 2020-07-06	succeeded AddToList(Compass, A broken compass. I sense a very quiet sound that resembles floating water)
13:22:03.71994 2020-07-06	succeeded ShowList(You, You)
13:22:05.69993 2020-07-06	input Touch Compass
13:22:05.70594 2020-07-06	started DisableInput()
13:22:05.75493 2020-07-06	succeeded DisableInput()
13:22:05.84493 2020-07-06	started HideList()
13:22:05.85094 2020-07-06	started FadeOut()
13:22:05.89593 2020-07-06	succeeded HideList()
13:22:06.94694 2020-07-06	succeeded FadeOut()
13:22:07.02045 2020-07-06	started SetPosition(You, Courtyard.Fountain)
13:22:07.48145 2020-07-06	input arrived You position Courtyard.Fountain
13:22:07.48545 2020-07-06	input exited You position Blind Blacksmith
13:22:07.62545 2020-07-06	input stopped walking You at (905.2, -3.3, -6.8)
13:22:08.00845 2020-07-06	succeeded SetPosition(You, Courtyard.Fountain)
13:22:08.05545 2020-07-06	started Face(You, Courtyard.Fountain)
13:22:10.01824 2020-07-06	succeeded Face(You, Courtyard.Fountain)
13:22:10.07624 2020-07-06	started FadeIn()
13:22:11.14976 2020-07-06	succeeded FadeIn()
13:22:11.19876 2020-07-06	started EnableInput()
13:22:11.23576 2020-07-06	succeeded EnableInput()
13:22:11.23876 2020-07-06	input arrived You at (905.2, -3.3, -6.8)
13:22:15.07804 2020-07-06	input TravelRuins Courtyard.Horse
13:22:15.08506 2020-07-06	started DisableInput()
13:22:15.08904 2020-07-06	started FadeOut()
13:22:15.12604 2020-07-06	succeeded DisableInput()
13:22:16.13504 2020-07-06	succeeded FadeOut()
13:22:16.18205 2020-07-06	started SetPosition(You, Ruins)
13:22:16.57204 2020-07-06	input exited You position Courtyard.Fountain
13:22:16.82604 2020-07-06	succeeded SetPosition(You, Ruins)
13:22:16.84804 2020-07-06	started FadeIn()
13:22:17.88018 2020-07-06	succeeded FadeIn()
13:22:17.90918 2020-07-06	started EnableInput()
13:22:17.93218 2020-07-06	succeeded EnableInput()
13:22:17.93918 2020-07-06	input arrived You at (2378.9, 22.9, 37.7)
13:22:20.95622 2020-07-06	input Attack Fia the Deathseeker
13:22:20.99322 2020-07-06	started StopSound(Ruins)
13:22:20.99822 2020-07-06	started PlaySound(danger1, Ruins)
13:22:21.00322 2020-07-06	started WalkTo(You, Fia the Deathseeker)
13:22:21.00822 2020-07-06	input started walking You at (2378.9, 22.9, 37.7)
13:22:21.01522 2020-07-06	input started walking You at (2378.9, 22.9, 37.7)
13:22:21.04422 2020-07-06	succeeded StopSound(Ruins)
13:22:21.04822 2020-07-06	succeeded PlaySound(danger1, Ruins)
13:22:21.05222 2020-07-06	input started walking You at (2379.2, 22.9, 38.1)
13:22:23.01322 2020-07-06	input arrived You at (2384.7, 24.5, 37.9)
13:22:23.11322 2020-07-06	input arrived You position Fia the Deathseeker
13:22:23.12222 2020-07-06	succeeded WalkTo(You, Fia the Deathseeker)
13:22:23.15922 2020-07-06	started DisableInput()
13:22:23.16522 2020-07-06	started Draw(You, A Sturdy Sword)
13:22:23.20422 2020-07-06	succeeded DisableInput()
13:22:23.84015 2020-07-06	input exited You position Fia the Deathseeker
13:22:24.69316 2020-07-06	input arrived You position Fia the Deathseeker
13:22:24.83917 2020-07-06	succeeded Draw(You, A Sturdy Sword)
13:22:24.87615 2020-07-06	started Attack(You, Fia the Deathseeker)
13:22:25.01261 2020-07-06	input started walking You at (2384.8, 24.5, 37.9)
13:22:25.01961 2020-07-06	input stopped walking You at (2384.8, 24.5, 37.9)
13:22:25.05460 2020-07-06	input started walking You at (2385.1, 24.5, 38.2)
13:22:27.55408 2020-07-06	input exited You position Fia the Deathseeker
13:22:27.81809 2020-07-06	input arrived You position Fia the Deathseeker
13:22:27.87608 2020-07-06	input exited You position Fia the Deathseeker
13:22:27.90408 2020-07-06	input arrived You position Fia the Deathseeker
13:22:28.23109 2020-07-06	input exited You position Fia the Deathseeker
13:22:28.78808 2020-07-06	input arrived You position Fia the Deathseeker
13:22:29.19708 2020-07-06	succeeded Attack(You, Fia the Deathseeker)
13:22:29.23808 2020-07-06	started Sheathe(You, A Sturdy Sword)
13:22:29.25008 2020-07-06	started SetExpression(Fia the Deathseeker, scared)
13:22:29.25508 2020-07-06	started Die(Fia the Deathseeker)
13:22:29.29108 2020-07-06	succeeded SetExpression(Fia the Deathseeker, scared)
13:22:30.21814 2020-07-06	succeeded Sheathe(You, A Sturdy Sword)
13:22:34.34119 2020-07-06	succeeded Die(Fia the Deathseeker)
13:22:34.39119 2020-07-06	started SetExpression(Fia the Deathseeker, asleep)
13:22:34.39718 2020-07-06	started DisableIcon(Talk, Fia the Deathseeker)
13:22:34.40219 2020-07-06	started DisableIcon(Attack, Fia the Deathseeker)
13:22:34.40818 2020-07-06	started SetLeft(You)
13:22:34.41518 2020-07-06	started SetRight(Fia the Deathseeker)
13:22:34.42318 2020-07-06	started WalkTo(You, Fia the Deathseeker)
13:22:34.47219 2020-07-06	succeeded SetExpression(Fia the Deathseeker, asleep)
13:22:34.47819 2020-07-06	succeeded DisableIcon(Talk, Fia the Deathseeker)
13:22:34.48619 2020-07-06	succeeded DisableIcon(Attack, Fia the Deathseeker)
13:22:34.49418 2020-07-06	succeeded SetLeft(You)
13:22:34.50018 2020-07-06	succeeded SetRight(Fia the Deathseeker)
13:22:34.50618 2020-07-06	succeeded WalkTo(You, Fia the Deathseeker)
13:22:34.58919 2020-07-06	started SetDialog("I just hope you didn't make this choice lightly, young one...and that it won't leave you with regret.\n[necroAttacked|Leave]")
13:22:34.67618 2020-07-06	succeeded SetDialog("I just hope you didn't make this choice lightly, young one...and that it won't leave you with regret.\n[necroAttacked|Leave]")
13:22:34.72219 2020-07-06	started ShowDialog()
13:22:34.72871 2020-07-06	started EnableInput()
13:22:34.73371 2020-07-06	started StopSound()
13:22:34.79771 2020-07-06	succeeded ShowDialog()
13:22:34.80171 2020-07-06	succeeded EnableInput()
13:22:34.80571 2020-07-06	succeeded StopSound()
13:22:40.25800 2020-07-06	input Selected necroAttacked
13:22:40.30000 2020-07-06	started HideDialog()
13:22:40.30500 2020-07-06	started EnableInput()
13:22:40.31000 2020-07-06	started StopSound()
13:22:40.31300 2020-07-06	started SetNarration(I'd better get out of there!)
13:22:40.31599 2020-07-06	started ShowNarration()
13:22:40.31900 2020-07-06	started FadeOut()
13:22:40.35000 2020-07-06	succeeded HideDialog()
13:22:40.35500 2020-07-06	succeeded EnableInput()
13:22:40.36000 2020-07-06	succeeded StopSound()
13:22:40.36399 2020-07-06	succeeded SetNarration(I'd better get out of there!)
13:22:40.36700 2020-07-06	succeeded ShowNarration()
13:22:41.34000 2020-07-06	succeeded FadeOut()
13:22:41.37700 2020-07-06	started SetPosition(You, SpookyPath)
13:22:41.61701 2020-07-06	input exited You position Fia the Deathseeker
13:22:41.78801 2020-07-06	input stopped walking You at (2098.0, 0.1, 1.4)
13:22:42.12901 2020-07-06	succeeded SetPosition(You, SpookyPath)
13:22:42.20501 2020-07-06	started FadeIn()
13:22:43.05801 2020-07-06	input Close Narration
13:22:43.27401 2020-07-06	succeeded FadeIn()
13:22:43.89154 2020-07-06	input Close Narration
13:22:43.92754 2020-07-06	started HideNarration()
13:22:43.95854 2020-07-06	succeeded HideNarration()
13:22:43.96354 2020-07-06	input arrived You at (2098.0, 0.1, 1.4)
13:22:44.99854 2020-07-06	input Key Inventory
13:22:45.03553 2020-07-06	started ClearList()
13:22:45.06854 2020-07-06	succeeded ClearList()
13:22:45.11354 2020-07-06	started AddToList(A Sturdy Sword, A broadsword to cut down all the foes...well, some of them)
13:22:45.11854 2020-07-06	started AddToList(Compass, A broken compass. I sense a very quiet sound that resembles floating water)
13:22:45.12954 2020-07-06	started ShowList(You, You)
13:22:45.18053 2020-07-06	succeeded AddToList(A Sturdy Sword, A broadsword to cut down all the foes...well, some of them)
13:22:45.18353 2020-07-06	succeeded AddToList(Compass, A broken compass. I sense a very quiet sound that resembles floating water)
13:22:45.18754 2020-07-06	succeeded ShowList(You, You)
13:22:47.29406 2020-07-06	input Touch Compass
13:22:47.30706 2020-07-06	started DisableInput()
13:22:47.35806 2020-07-06	succeeded DisableInput()
13:22:47.42306 2020-07-06	started HideList()
13:22:47.43706 2020-07-06	started FadeOut()
13:22:47.49006 2020-07-06	succeeded HideList()
13:22:48.45745 2020-07-06	succeeded FadeOut()
13:22:48.50045 2020-07-06	started SetPosition(You, Courtyard.Fountain)
13:22:48.79345 2020-07-06	input arrived You position Courtyard.Fountain
13:22:49.49045 2020-07-06	succeeded SetPosition(You, Courtyard.Fountain)
13:22:49.54145 2020-07-06	started Face(You, Courtyard.Fountain)
13:22:50.77448 2020-07-06	succeeded Face(You, Courtyard.Fountain)
13:22:50.87248 2020-07-06	started FadeIn()
13:22:51.91099 2020-07-06	succeeded FadeIn()
13:22:51.95399 2020-07-06	started EnableInput()
13:22:52.01799 2020-07-06	succeeded EnableInput()
13:22:52.02200 2020-07-06	input arrived You at (905.2, -3.3, -6.8)
13:22:56.56157 2020-07-06	input TravelLibrary Courtyard.Horse
13:22:56.56956 2020-07-06	started DisableInput()
13:22:56.57256 2020-07-06	started FadeOut()
13:22:56.60956 2020-07-06	succeeded DisableInput()
13:22:57.63256 2020-07-06	succeeded FadeOut()
13:22:57.67657 2020-07-06	started SetPosition(You, Library)
13:22:58.08256 2020-07-06	input arrived You position Emmilia
13:22:58.08756 2020-07-06	input exited You position Courtyard.Fountain
13:22:58.37156 2020-07-06	succeeded SetPosition(You, Library)
13:22:58.42356 2020-07-06	started FadeIn()
13:22:59.47257 2020-07-06	succeeded FadeIn()
13:22:59.50356 2020-07-06	started EnableInput()
13:22:59.52956 2020-07-06	succeeded EnableInput()
13:22:59.53356 2020-07-06	input arrived You at (1801.9, -5.7, 7.4)
13:23:00.81557 2020-07-06	input Talk Emmilia
13:23:00.84256 2020-07-06	started SetLeft(You)
13:23:00.84756 2020-07-06	started SetRight(Emmilia)
13:23:00.85356 2020-07-06	started WalkTo(You, Emmilia)
13:23:00.87956 2020-07-06	succeeded SetLeft(You)
13:23:00.88356 2020-07-06	succeeded SetRight(Emmilia)
13:23:00.88756 2020-07-06	succeeded WalkTo(You, Emmilia)
13:23:00.91756 2020-07-06	started SetDialog("I deserve to rule this kingdom. \"WE deserve to rule this kingdom.\" They called me mad! \"Mad witch!\" Shut up! I have had enough. Oh! you're still here. Good! It's time to put those two unwitting gouls out of their misery\n(You need Alchemy skill of 3 or higher to proceed)\n[leave|Leave]")
13:23:00.94256 2020-07-06	succeeded SetDialog("I deserve to rule this kingdom. \"WE deserve to rule this kingdom.\" They called me mad! \"Mad witch!\" Shut up! I have had enough. Oh! you're still here. Good! It's time to put those two unwitting gouls out of their misery\n(You need Alchemy skill of 3 or higher to proceed)\n[leave|Leave]")
13:23:00.96856 2020-07-06	started ShowDialog()
13:23:01.01656 2020-07-06	succeeded ShowDialog()
13:23:02.42456 2020-07-06	input Selected leave
13:23:02.45457 2020-07-06	started HideDialog()
13:23:02.46057 2020-07-06	started EnableInput()
13:23:02.46456 2020-07-06	started StopSound()
13:23:02.48756 2020-07-06	succeeded HideDialog()
13:23:02.49157 2020-07-06	succeeded EnableInput()
13:23:02.49556 2020-07-06	succeeded StopSound()
13:23:04.47009 2020-07-06	input started walking You at (1801.9, -5.7, 7.4)
13:23:04.49409 2020-07-06	input started walking You at (1801.9, -5.7, 7.4)
13:23:04.97609 2020-07-06	input exited You position Emmilia
13:23:05.04910 2020-07-06	input stopped walking You at (1802.8, -5.7, 6.7)
13:23:06.53634 2020-07-06	input arrived You at (1802.8, -5.7, 6.7)
13:23:07.62689 2020-07-06	input Attack Emmilia
13:23:07.67989 2020-07-06	started StopSound(Library)
13:23:07.68389 2020-07-06	started PlaySound(danger1, Library)
13:23:07.69089 2020-07-06	started WalkTo(You, Emmilia)
13:23:07.69589 2020-07-06	input started walking You at (1802.8, -5.7, 6.7)
13:23:07.70089 2020-07-06	input started walking You at (1802.8, -5.7, 6.7)
13:23:07.76094 2020-07-06	succeeded StopSound(Library)
13:23:07.76394 2020-07-06	succeeded PlaySound(danger1, Library)
13:23:07.76894 2020-07-06	input started walking You at (1802.8, -5.7, 6.7)
13:23:08.18194 2020-07-06	input arrived You position Emmilia
13:23:08.18694 2020-07-06	succeeded WalkTo(You, Emmilia)
13:23:08.25595 2020-07-06	started DisableInput()
13:23:08.25994 2020-07-06	started Draw(You, A Sturdy Sword)
13:23:08.34694 2020-07-06	succeeded DisableInput()
13:23:09.16054 2020-07-06	input exited You position Emmilia
13:23:09.84054 2020-07-06	input arrived You position Emmilia
13:23:10.33855 2020-07-06	succeeded Draw(You, A Sturdy Sword)
13:23:10.43154 2020-07-06	started Attack(You, Emmilia)
13:23:10.67655 2020-07-06	input started walking You at (1802.1, -5.7, 6.8)
13:23:10.68255 2020-07-06	input stopped walking You at (1802.1, -5.7, 6.8)
13:23:10.73555 2020-07-06	input started walking You at (1802.2, -5.7, 6.3)
13:23:10.79256 2020-07-06	input exited You position Emmilia
13:23:11.12554 2020-07-06	input arrived You position Emmilia
13:23:12.04459 2020-07-06	input exited You position Emmilia
13:23:12.49210 2020-07-06	input arrived You position Emmilia
13:23:12.52310 2020-07-06	input exited You position Emmilia
13:23:13.45410 2020-07-06	input arrived You position Emmilia
13:23:13.77111 2020-07-06	succeeded Attack(You, Emmilia)
13:23:13.80510 2020-07-06	started Sheathe(You, A Sturdy Sword)
13:23:13.81210 2020-07-06	started SetExpression(Emmilia, scared)
13:23:13.81610 2020-07-06	started Die(Emmilia)
13:23:13.84510 2020-07-06	succeeded SetExpression(Emmilia, scared)
13:23:14.61910 2020-07-06	input exited You position Emmilia
13:23:14.78010 2020-07-06	succeeded Sheathe(You, A Sturdy Sword)
13:23:14.85510 2020-07-06	input arrived You position Emmilia
13:23:18.82762 2020-07-06	succeeded Die(Emmilia)
13:23:18.86362 2020-07-06	started SetExpression(Emmilia, asleep)
13:23:18.86662 2020-07-06	started DisableIcon(Talk, Emmilia)
13:23:18.87062 2020-07-06	started DisableIcon(Attack, Emmilia)
13:23:18.87562 2020-07-06	started SetLeft(You)
13:23:18.88162 2020-07-06	started SetRight(Emmilia)
13:23:18.88862 2020-07-06	started WalkTo(You, Emmilia)
13:23:18.89362 2020-07-06	input started walking You at (1802.0, -5.7, 6.7)
13:23:18.89862 2020-07-06	input started walking You at (1802.0, -5.7, 6.7)
13:23:18.93462 2020-07-06	succeeded SetExpression(Emmilia, asleep)
13:23:18.93862 2020-07-06	succeeded DisableIcon(Talk, Emmilia)
13:23:18.94262 2020-07-06	succeeded DisableIcon(Attack, Emmilia)
13:23:18.94561 2020-07-06	succeeded SetLeft(You)
13:23:18.94862 2020-07-06	succeeded SetRight(Emmilia)
13:23:18.95262 2020-07-06	input started walking You at (1802.0, -5.7, 6.3)
13:23:18.95662 2020-07-06	input stopped walking You at (1802.0, -5.7, 6.3)
13:23:18.98162 2020-07-06	input exited You position Emmilia
13:23:18.98862 2020-07-06	input started walking You at (1802.0, -5.7, 6.3)
13:23:19.28562 2020-07-06	input arrived You position Emmilia
13:23:19.29462 2020-07-06	succeeded WalkTo(You, Emmilia)
13:23:19.32462 2020-07-06	started SetDialog("Why me? \"Why us?\" What did I ever do to you?\n[emAttached|Leave]")
13:23:19.35762 2020-07-06	succeeded SetDialog("Why me? \"Why us?\" What did I ever do to you?\n[emAttached|Leave]")
13:23:19.38962 2020-07-06	started ShowDialog()
13:23:19.42762 2020-07-06	succeeded ShowDialog()
13:23:21.91763 2020-07-06	input Selected emAttached
13:23:21.95762 2020-07-06	started HideDialog()
13:23:21.96162 2020-07-06	started EnableInput()
13:23:21.96562 2020-07-06	started StopSound()
13:23:21.96961 2020-07-06	started SetNarration(I'd better get out of there!)
13:23:21.97262 2020-07-06	started ShowNarration()
13:23:21.97662 2020-07-06	started FadeOut()
13:23:22.00662 2020-07-06	succeeded HideDialog()
13:23:22.01062 2020-07-06	succeeded EnableInput()
